Student_ID,Study_Hours,Attendance,Rest_Hours,Parental_Involvement,Access_to_Resources
165,26,76,7.0,Medium,High
166,22,87,8.0,High,Low
167,25,63,7.0,High,Medium
168,31,84,10.0,Medium,Medium
169,19,91,7.0,High,Low
170,15,93,7.0,High,Medium
171,15,67,8.0,Medium,Medium
172,15,96,8.0,Medium,Medium
173,20,86,9.0,High,Low
174,22,95,10.0,Medium,High
175,22,79,10.0,Medium,Medium
176,25,82,7.0,Medium,Medium
177,20,97,8.0,Medium,Medium
178,29,96,10.0,Medium,Medium
179,18,78,10.0,Medium,Medium
180,36,71,7.0,Medium,Medium
181,24,76,9.0,Low,High
182,15,76,9.0,High,High
183,14,71,9.0,Medium,Medium
184,23,71,10.0,Low,Low
185,19,94,6.0,Low,Medium
186,24,63,7.0,Medium,Low
187,23,87,9.0,High,High
188,20,67,8.0,Low,Medium
189,15,74,5.0,Low,High
190,11,62,6.0,Medium,High
191,17,71,9.0,Medium,Medium
192,25,91,9.0,Medium,Medium
193,21,95,6.0,Medium,Medium
194,13,69,10.0,Medium,Low
195,21,79,8.0,Medium,High
196,22,79,6.0,High,Medium
197,15,95,7.0,Low,Low
198,21,91,6.0,Medium,High
199,20,81,,High,Medium
200,13,87,5.0,High,Low
201,22,94,8.0,Low,Medium
202,23,60,9.0,High,Medium
203,26,76,6.0,Medium,Medium
204,26,96,8.0,Medium,Medium
205,12,90,7.0,Medium,Low
206,14,82,9.0,Medium,Medium
207,23,81,5.0,Low,Medium
208,23,74,9.0,Medium,High
209,23,81,,Medium,Low
210,43,86,8.0,High,Medium
211,23,77,7.0,Medium,High
212,27,89,7.0,Medium,High
213,26,94,6.0,Medium,High
214,24,66,10.0,Medium,Low
215,18,78,6.0,High,Medium
216,25,76,6.0,Medium,Medium
217,15,87,11.0,Medium,High
218,19,70,,Medium,Low
219,17,86,6.0,High,Low
220,20,95,8.0,Low,Medium
221,34,77,8.0,Medium,Low
222,9,96,5.0,Medium,Medium
223,24,100,7.0,High,High
224,10,64,8.0,Medium,High
225,17,69,10.0,High,Medium
226,27,98,8.0,Low,High
227,20,98,8.0,Medium,Low
228,14,64,7.0,Medium,Medium
229,16,61,10.0,Medium,Medium
230,24,66,9.0,High,Low
231,16,100,,High,Low
232,21,67,8.0,Medium,Medium
233,20,80,6.0,Medium,High
234,16,94,,High,High
235,33,61,8.0,Medium,Medium
236,24,84,8.0,High,Low
237,8,71,9.0,High,Low
238,21,94,8.0,Medium,Medium
239,16,71,6.0,High,Medium
240,25,87,,Medium,Low
241,15,87,5.0,Low,Medium
242,19,69,8.0,Medium,Medium
243,23,61,10.0,Low,Medium
244,25,76,5.0,Medium,High
245,13,72,8.0,High,High
246,18,92,9.0,Low,Medium
247,17,92,9.0,Low,Low
248,16,78,,Medium,High
249,31,84,6.0,Medium,Medium
250,22,84,7.0,Medium,Medium
251,12,93,10.0,Medium,Medium
252,26,77,5.0,Low,Medium
253,33,71,6.0,Low,Medium
254,26,71,7.0,High,Medium
255,11,81,7.0,Medium,Medium
256,17,78,8.0,Medium,High
257,28,78,10.0,High,Medium
258,16,64,6.0,High,Low
259,23,89,8.0,Low,Low
260,25,69,8.0,Medium,Medium
261,14,68,7.0,High,Medium
262,20,77,6.0,Medium,Medium
263,1,69,7.0,High,Medium
264,14,83,,Medium,Low
265,18,75,9.0,Low,High
266,13,78,9.0,Medium,High
267,30,81,6.0,Medium,Low
268,11,68,7.0,Medium,Medium
269,17,66,7.0,Low,High
270,21,95,11.0,Low,Low
271,29,77,8.0,High,High
272,11,76,6.0,Low,Medium
273,27,61,7.0,Medium,Medium
274,20,80,7.0,High,Low
275,14,82,9.0,Medium,High
276,23,82,9.0,Low,Medium
277,21,88,8.0,Medium,High
278,16,67,8.0,Medium,High
279,20,70,8.0,Medium,Medium
280,18,92,8.0,High,Medium
281,21,98,5.0,Medium,Low
282,24,65,8.0,Medium,Low
283,30,80,7.0,Low,High
284,13,69,6.0,Medium,Low
285,33,62,11.0,High,Medium
286,8,73,8.0,Medium,Medium
287,19,66,8.0,Medium,High
288,24,88,7.0,Low,Medium
289,22,81,9.0,Low,High
290,16,66,6.0,Medium,High
291,19,60,8.0,Medium,High
292,17,92,7.0,Low,Low
293,16,67,9.0,High,Medium
294,25,84,7.0,Medium,Low
295,22,73,10.0,Low,Medium
296,16,83,8.0,Medium,High
297,25,73,9.0,Low,Low
298,22,63,9.0,Low,Low
299,25,69,10.0,High,Medium
300,24,68,7.0,Medium,Medium
301,15,77,9.0,Medium,Medium
302,17,86,5.0,High,Low
303,24,71,8.0,Medium,Medium
304,24,60,7.0,Low,Medium
305,20,81,6.0,Medium,Medium
306,21,84,7.0,Medium,Medium
307,28,99,7.0,Medium,Medium
308,16,84,8.0,Medium,High
309,23,79,7.0,Medium,High
310,19,83,8.0,Medium,Medium
311,19,97,7.0,High,Medium
312,27,93,7.0,High,Low
313,25,73,8.0,Medium,High
314,25,69,8.0,Low,High
315,28,71,9.0,Medium,Medium
316,20,80,9.0,Low,High
317,24,90,8.0,Low,Low
318,18,80,9.0,Medium,Medium
319,22,63,8.0,Medium,High
320,19,89,8.0,High,Medium
321,21,92,9.0,Medium,Low
322,24,72,7.0,High,High
323,15,87,5.0,High,Low
324,33,77,6.0,Low,High
325,14,96,,Medium,Low
326,13,94,8.0,Medium,Medium
327,27,81,8.0,Medium,Medium
328,25,88,8.0,Medium,Medium
329,24,95,9.0,Medium,High
330,24,80,8.0,Medium,High
331,20,73,8.0,Medium,Medium
332,15,90,9.0,High,Medium
333,20,69,7.0,Medium,High
334,16,76,9.0,Low,High
335,26,95,,Low,High
336,19,89,8.0,High,Medium
337,15,76,7.0,Medium,Medium
338,18,69,8.0,High,High
339,22,74,7.0,High,High
340,17,71,10.0,High,Medium
341,15,67,5.0,Medium,Medium
342,21,90,9.0,Low,Medium
343,21,70,5.0,Low,High
344,17,78,9.0,Medium,High
345,17,75,7.0,Medium,High
346,21,99,9.0,Medium,Medium
347,11,76,8.0,Medium,Medium
348,12,63,6.0,Medium,High
349,16,64,10.0,Low,Medium
350,19,84,9.0,Low,Medium
351,22,84,9.0,High,Medium
352,29,77,7.0,Low,High
353,25,77,9.0,Medium,Low
354,19,62,6.0,Medium,Medium
355,20,81,5.0,High,Medium
356,14,80,6.0,High,Medium
357,20,66,7.0,Medium,Medium
358,18,64,7.0,Medium,Medium
359,22,65,7.0,Low,High
360,15,64,7.0,Medium,Medium
361,23,84,7.0,High,Medium
362,29,68,5.0,Medium,High
363,19,70,8.0,Medium,Medium
364,22,67,8.0,Low,Medium
365,24,98,7.0,High,Medium
366,18,94,10.0,Medium,High
367,21,69,8.0,High,High
368,20,73,8.0,Medium,Medium
369,21,68,9.0,Medium,Low
370,15,80,6.0,Low,High
371,20,61,8.0,Medium,Medium
372,23,87,9.0,High,High
373,29,81,8.0,High,Medium
374,26,96,6.0,Medium,Medium
375,33,67,7.0,Medium,Medium
376,15,92,8.0,Medium,Low
377,25,92,5.0,Medium,Medium
378,21,65,6.0,Medium,Low
379,33,76,11.0,Medium,Medium
380,15,67,9.0,High,Medium
381,15,70,10.0,High,Medium
382,16,71,,Medium,Medium
383,7,82,9.0,High,High
384,17,76,8.0,Medium,High
385,15,98,9.0,Low,Medium
386,21,65,10.0,Low,Medium
387,22,99,9.0,Medium,Low
388,31,69,8.0,High,Low
389,26,91,8.0,High,Medium
390,17,74,9.0,Medium,Medium
391,15,66,7.0,Low,High
392,23,94,9.0,Low,Medium
393,12,72,7.0,Medium,Low
394,31,86,,High,High
395,27,83,6.0,High,Low
396,17,79,7.0,Medium,Low
397,10,80,7.0,High,Medium
398,28,89,11.0,Medium,High
399,19,64,7.0,Low,Medium
400,27,87,9.0,Medium,Medium
401,10,96,7.0,High,High
402,16,62,,Medium,Medium
403,20,66,8.0,High,High
404,20,89,5.0,Medium,Medium
405,17,77,6.0,Low,High
406,24,76,7.0,Low,High
407,14,65,6.0,High,Medium
408,19,80,8.0,Medium,Medium
409,21,65,8.0,High,High
410,23,79,6.0,Medium,Medium
411,24,91,8.0,Medium,Medium
412,13,70,7.0,High,High
413,11,79,8.0,Medium,Medium
414,28,100,7.0,High,Low
415,22,87,9.0,Low,Medium
416,16,94,10.0,Medium,Medium
417,29,77,9.0,High,Low
418,21,91,10.0,High,Medium
419,27,62,6.0,Medium,High
420,20,65,7.0,Medium,Low
421,32,68,9.0,Medium,Low
422,31,76,10.0,Medium,High
423,19,94,9.0,Low,Medium
424,26,74,6.0,Low,Low
425,24,86,7.0,High,High
426,28,88,9.0,High,Medium
427,14,83,8.0,Medium,Medium
428,24,74,7.0,High,Medium
429,26,83,8.0,Low,Low
430,9,74,8.0,Medium,High
431,13,63,6.0,High,Medium
432,8,100,9.0,High,Medium
433,18,65,7.0,Medium,High
434,24,63,8.0,High,Low
435,29,95,10.0,Medium,Low
436,20,72,,High,Low
437,30,86,9.0,Medium,Low
438,12,73,6.0,High,Medium
439,10,76,9.0,Low,Medium
440,20,70,9.0,Medium,Medium
441,22,74,7.0,Medium,Low
442,20,76,8.0,Medium,Low
443,8,89,8.0,Medium,High
444,19,80,8.0,High,Medium
445,12,98,9.0,High,Medium
446,24,62,7.0,Medium,Medium
447,22,80,8.0,High,Medium
448,14,83,10.0,Low,Low
449,17,97,10.0,Medium,High
450,14,62,9.0,High,High
451,20,83,8.0,Low,Medium
452,26,94,11.0,High,Medium
453,14,70,10.0,High,Medium
454,23,95,8.0,Medium,Medium
455,17,61,8.0,Medium,Medium
456,15,89,7.0,Medium,Medium
457,19,97,9.0,High,Low
458,14,86,9.0,Medium,Low
459,17,78,9.0,Medium,Medium
460,13,62,8.0,Low,High
461,32,97,6.0,Medium,High
462,20,79,8.0,High,Low
463,16,61,9.0,Medium,Low
464,21,88,7.0,High,Medium
465,19,79,8.0,Medium,High
466,19,65,,Medium,High
467,24,69,6.0,Low,High
468,25,63,8.0,High,Medium
469,17,83,10.0,Low,Medium
470,17,85,8.0,Medium,Low
471,18,80,7.0,Medium,Low
472,6,93,8.0,Medium,Medium
473,11,94,9.0,Medium,Low
474,28,85,8.0,Medium,High
475,30,61,9.0,Low,High
476,19,88,8.0,Medium,Low
477,23,77,,High,High
478,22,83,9.0,Medium,Medium
479,38,86,8.0,Low,High
480,27,74,7.0,Medium,High
481,19,97,9.0,Medium,Low
482,14,65,8.0,Low,Medium
483,10,87,7.0,Medium,Low
484,21,60,9.0,Medium,High
485,15,97,10.0,Low,Medium
486,11,65,8.0,Medium,High
487,16,64,8.0,High,Medium
488,14,73,6.0,High,Medium
489,30,75,8.0,High,High
490,25,69,8.0,Medium,Medium
491,20,83,8.0,Low,Low
492,29,78,,High,Medium
493,20,61,9.0,Low,Low
494,15,73,8.0,Medium,Low
495,29,92,11.0,Medium,Medium
496,23,88,8.0,Low,Medium
497,14,89,,High,High
498,19,88,6.0,High,Medium
499,15,72,9.0,High,High
500,12,64,7.0,High,Low
501,26,71,7.0,Medium,Low
502,31,93,6.0,High,Low
503,12,99,7.0,Medium,Medium
504,23,80,,Medium,Medium
505,16,60,9.0,Low,Medium
506,17,66,6.0,High,High
507,16,73,9.0,High,Medium
508,15,83,6.0,Low,Low
509,20,63,9.0,Low,Low
510,15,98,9.0,Low,High
511,22,75,7.0,Medium,Medium
512,20,97,,Medium,High
513,19,91,9.0,High,Low
514,15,90,7.0,Medium,Low
515,17,84,8.0,Medium,Low
516,25,85,9.0,High,High
517,23,86,9.0,Medium,Medium
518,14,85,7.0,Medium,Medium
519,21,82,8.0,High,Medium
520,25,99,7.0,High,Medium
521,10,89,9.0,Low,Low
522,23,91,10.0,Low,Medium
523,16,95,7.0,Medium,Low
524,23,69,8.0,Medium,High
525,15,63,9.0,Medium,Low
526,9,79,8.0,Medium,Low
527,10,81,9.0,High,Medium
528,20,93,8.0,Low,High
529,22,78,6.0,Medium,Medium
530,15,83,8.0,Medium,Medium
531,24,81,10.0,Medium,Low
532,10,62,8.0,Medium,Low
533,20,85,10.0,High,Medium
534,13,93,5.0,Low,Low
535,16,66,9.0,Low,Medium
536,20,84,,Medium,High
537,15,84,7.0,Medium,High
538,18,67,10.0,Low,Low
539,26,65,,Low,Medium
540,17,99,7.0,Medium,High
541,25,76,9.0,Medium,High
542,13,69,5.0,High,Low
543,23,67,10.0,Medium,Medium
544,29,87,11.0,Medium,High
545,5,84,9.0,Medium,Medium
546,15,86,9.0,Medium,High
547,23,64,8.0,Medium,Medium
548,19,96,6.0,Medium,Low
549,22,76,10.0,Medium,Low
550,16,73,,High,Low
551,21,78,9.0,Medium,Low
552,19,76,9.0,High,High
553,27,95,8.0,High,Medium
554,22,97,7.0,Medium,High
555,22,72,11.0,Low,Medium
556,18,95,8.0,Medium,Medium
557,17,91,7.0,Medium,Medium
558,17,97,10.0,Medium,High
559,22,70,8.0,Low,Medium
560,17,83,8.0,High,Medium
561,22,71,10.0,Low,High
562,32,93,,Medium,Medium
563,25,60,9.0,Low,High
564,18,83,6.0,Medium,High
565,27,74,9.0,High,Medium
566,18,73,6.0,Medium,Low
567,8,86,7.0,Medium,High
568,14,94,8.0,High,Medium
569,9,84,8.0,High,Low
570,18,94,9.0,High,Medium
571,20,71,9.0,High,Medium
572,30,81,9.0,Medium,High
573,22,78,6.0,Medium,High
574,19,60,11.0,Medium,High
575,25,82,8.0,Medium,High
576,7,86,10.0,Medium,Low
577,21,84,5.0,High,High
578,25,89,8.0,Medium,Medium
579,11,83,6.0,High,Low
580,27,63,7.0,Medium,High
581,22,65,8.0,Medium,Medium
582,18,84,7.0,Medium,High
583,24,71,10.0,Medium,Low
584,34,63,11.0,Medium,High
585,21,77,7.0,Medium,Low
586,21,82,7.0,Low,Low
587,17,73,6.0,High,Medium
588,15,89,10.0,Low,Medium
589,25,86,8.0,Medium,Medium
590,15,73,8.0,Medium,High
591,20,90,8.0,Medium,Medium
592,17,86,8.0,High,Medium
593,23,85,7.0,High,Low
594,22,82,8.0,High,Medium
595,26,60,8.0,Medium,Medium
596,17,88,9.0,Medium,Medium
597,18,75,6.0,High,Medium
598,14,98,8.0,High,High
599,17,93,7.0,High,Low
600,22,84,8.0,High,Medium
601,25,70,9.0,Low,Medium
602,14,68,7.0,Low,Medium
603,25,74,10.0,High,High
604,28,79,5.0,High,Medium
605,22,72,10.0,High,Medium
606,31,81,10.0,Medium,Medium
607,15,67,7.0,Medium,High
608,13,99,7.0,Medium,Medium
609,9,64,6.0,Medium,Medium
610,29,97,9.0,Medium,Medium
611,24,97,8.0,High,Low
612,20,81,,Medium,Low
613,22,89,6.0,Medium,High
614,13,77,11.0,Medium,Medium
615,35,85,7.0,Medium,High
616,21,74,8.0,Medium,Low
617,21,72,8.0,High,Medium
618,24,83,7.0,Low,High
619,23,80,7.0,Medium,Low
620,21,83,7.0,High,Medium
621,15,71,9.0,Medium,High
622,23,75,7.0,Low,High
623,31,63,,Medium,High
624,28,62,7.0,Medium,High
625,30,70,9.0,Low,Medium
626,17,63,,Medium,Medium
627,14,64,7.0,High,High
628,19,93,7.0,Medium,High
629,20,62,6.0,Low,Medium
630,27,86,8.0,Medium,Medium
631,10,71,8.0,Medium,Medium
632,29,95,5.0,Low,Medium
633,19,79,11.0,High,Medium
634,17,72,8.0,Medium,High
635,14,81,8.0,Medium,Medium
636,10,75,10.0,High,Medium
637,25,83,9.0,Medium,Medium
638,20,65,8.0,Medium,Low
639,12,100,5.0,Medium,Medium
640,12,77,9.0,Medium,Medium
641,18,74,7.0,Medium,Medium
642,30,88,10.0,Medium,Medium
643,18,75,7.0,Medium,Medium
644,11,93,7.0,Medium,Medium
645,19,78,6.0,High,High
646,18,89,6.0,Medium,High
647,4,64,8.0,Medium,High
648,20,94,8.0,Medium,Medium
649,19,89,7.0,Medium,Medium
650,24,68,11.0,Medium,Medium
651,31,66,9.0,Low,High
652,27,73,8.0,Medium,Medium
653,18,99,5.0,Medium,High
654,13,70,9.0,Medium,Medium
655,35,78,11.0,High,Low
656,20,61,8.0,Medium,Low
657,20,76,7.0,High,High
658,20,83,8.0,High,Medium
659,21,98,6.0,High,Medium
660,19,81,9.0,High,High
661,17,93,10.0,Medium,Medium
662,17,82,7.0,Medium,Low
663,20,62,7.0,Low,Low
664,17,73,8.0,High,Medium
665,16,83,7.0,Medium,Medium
666,21,98,6.0,Medium,High
667,18,94,7.0,Medium,Medium
668,29,69,7.0,Medium,High
669,4,69,10.0,Medium,Low
670,27,68,10.0,Medium,Medium
671,27,97,10.0,High,High
672,8,94,9.0,High,Low
673,18,91,8.0,High,High
674,18,76,7.0,High,High
675,12,80,10.0,Low,Low
676,15,79,9.0,High,Medium
677,13,70,6.0,Medium,Medium
678,31,80,7.0,High,High
679,26,61,6.0,Low,Medium
680,28,65,5.0,Medium,Medium
681,24,95,9.0,High,Low
682,13,90,,Medium,Medium
683,17,77,7.0,Medium,Medium
684,23,81,8.0,Medium,Low
685,13,75,8.0,Medium,High
686,24,90,7.0,Medium,Medium
687,19,91,10.0,Medium,Low
688,18,91,6.0,Medium,Medium
689,24,89,6.0,Medium,High
690,23,68,9.0,Low,Low
691,18,74,7.0,Medium,Low
692,27,79,7.0,Medium,Low
693,14,73,6.0,Medium,Low
694,24,90,9.0,Medium,Medium
695,24,73,8.0,Medium,Medium
696,18,66,8.0,High,Medium
697,22,76,7.0,High,Medium
698,12,99,7.0,High,High
699,26,69,8.0,Medium,Medium
700,19,84,9.0,Medium,High
701,17,77,10.0,Low,Medium
702,26,63,10.0,Medium,High
703,16,80,9.0,High,Medium
704,12,88,9.0,Medium,Medium
705,11,81,6.0,Medium,High
706,24,95,7.0,Medium,Low
707,12,72,9.0,Medium,Medium
708,31,63,8.0,Low,High
709,8,97,9.0,Medium,High
710,30,75,9.0,Medium,Medium
711,21,83,9.0,Medium,Medium
712,19,92,6.0,Medium,Medium
713,17,73,8.0,High,High
714,22,89,7.0,High,Medium
715,20,65,7.0,High,High
716,27,72,5.0,Medium,Low
717,21,66,8.0,Medium,Medium
718,21,92,5.0,High,Medium
719,18,69,9.0,Low,Medium
720,20,89,10.0,Low,Medium
721,22,98,9.0,Medium,Low
722,10,81,8.0,Medium,Low
723,12,82,10.0,Low,Medium
724,24,78,8.0,High,Low
725,21,73,7.0,Medium,Medium
726,19,79,8.0,Medium,High
727,20,84,11.0,Medium,Medium
728,22,99,6.0,Medium,Medium
729,17,98,6.0,Low,High
730,15,94,9.0,Low,Medium
731,21,96,8.0,Medium,High
732,14,79,7.0,High,Medium
733,22,86,6.0,Medium,Medium
734,10,96,,Medium,Medium
735,26,76,6.0,Medium,Medium
736,23,98,10.0,Medium,Medium
737,22,77,8.0,Medium,Medium
738,26,84,5.0,Low,High
739,30,88,10.0,High,Medium
740,26,98,10.0,Medium,Low
741,9,70,10.0,Medium,Medium
742,12,90,7.0,Medium,High
743,16,81,8.0,High,Medium
744,20,71,,Medium,Low
745,23,91,10.0,Low,High
746,16,82,7.0,High,High
747,21,86,7.0,Medium,Low
748,15,73,9.0,Low,High
749,16,79,10.0,Low,Medium
750,12,85,8.0,High,High
751,14,76,9.0,High,Medium
752,12,68,8.0,High,High
753,14,98,8.0,High,High
754,26,80,7.0,Medium,Low
755,14,89,6.0,Medium,Low
756,36,76,7.0,Medium,Medium
757,23,74,,High,Low
758,21,76,8.0,Medium,Medium
759,15,76,10.0,High,High
760,24,82,8.0,Low,Medium
761,17,82,7.0,High,Medium
762,21,80,9.0,Medium,Medium
763,35,65,8.0,High,Medium
764,19,80,9.0,Low,Low
765,27,67,,Low,Medium
766,16,65,10.0,Low,High
767,20,97,10.0,Medium,High
768,31,84,8.0,Medium,High
769,16,86,9.0,High,High
770,31,76,10.0,Medium,Medium
771,24,96,7.0,Low,High
772,17,86,8.0,Medium,Medium
773,24,91,8.0,Low,Low
774,26,75,6.0,High,Medium
775,24,98,9.0,High,Low
776,11,93,10.0,High,Medium
777,16,94,8.0,Medium,Medium
778,19,67,9.0,Low,Medium
779,20,71,10.0,Medium,Medium
780,24,71,7.0,Medium,High
781,21,71,9.0,High,Medium
782,12,94,7.0,Low,High
783,22,61,7.0,Low,Low
784,24,63,9.0,High,Medium
785,23,71,8.0,Medium,Medium
786,26,68,9.0,Medium,High
787,25,69,8.0,High,Medium
788,23,92,9.0,Low,Medium
789,20,83,10.0,High,Low
790,10,60,10.0,Medium,Medium
791,23,77,9.0,Low,Medium
792,21,76,9.0,Medium,High
793,22,65,8.0,Low,Medium
794,12,87,8.0,Medium,Low
795,14,88,9.0,Medium,Medium
796,26,89,8.0,Medium,Low
797,20,89,9.0,Medium,High
798,24,60,10.0,Medium,High
799,20,98,8.0,Low,Medium
800,20,93,5.0,High,Medium
801,26,96,11.0,High,High
802,17,61,7.0,Low,Low
803,21,97,8.0,Medium,Medium
804,17,92,9.0,Medium,High
805,17,93,10.0,Low,Medium
806,18,64,11.0,Medium,Low
807,21,90,7.0,Medium,Medium
808,17,98,10.0,Medium,High
809,28,87,8.0,Low,Low
810,15,83,11.0,High,Medium
811,19,98,10.0,Medium,High
812,17,78,8.0,Medium,High
813,29,84,7.0,High,Medium
814,21,79,5.0,High,Medium
815,26,97,9.0,Medium,Medium
816,11,63,10.0,High,Medium
817,22,80,9.0,Medium,Medium
818,25,87,5.0,Medium,High
819,20,92,6.0,Medium,Low
820,26,83,9.0,High,Low
821,17,96,11.0,Medium,Medium
822,28,98,8.0,Medium,Medium
823,34,63,10.0,Medium,High
824,18,76,6.0,Medium,High
825,17,61,8.0,Medium,Medium
826,29,73,8.0,Medium,Medium
827,29,81,10.0,Low,Medium
828,17,96,7.0,Medium,Medium
829,17,94,11.0,Medium,Medium
830,18,65,8.0,High,Medium
831,12,64,6.0,Medium,Low
832,14,84,6.0,Medium,Medium
833,14,81,7.0,High,Medium
834,15,71,,Low,Medium
835,20,96,7.0,Medium,Medium
836,21,97,7.0,Medium,High
837,29,76,9.0,Medium,Medium
838,14,96,5.0,Medium,High
839,26,75,7.0,Low,Medium
840,19,89,6.0,Low,Medium
841,20,79,7.0,Medium,Low
842,24,65,8.0,Medium,Medium
843,13,97,,High,High
844,22,78,8.0,High,Medium
845,21,89,10.0,Low,Medium
846,23,75,8.0,Medium,Medium
847,22,61,11.0,Low,Low
848,35,64,9.0,Medium,Medium
849,16,80,7.0,High,Medium
850,17,88,11.0,Medium,Medium
851,16,73,8.0,Low,High
